event_id,team,type,player,congestion_5m,runners_on_shoulder,def_line_height,team_width,team_length,run_speed_ms
078dc775-dabd-4ca8-8568-e5663a2340b6,Spain,Pass,Daniel Carvajal Ramos,1,3,20.295898028495284,29.045607263975967,22.23372247214681,0.0
078eec92-34f5-4d60-a5e3-023d5e058d04,Spain,Carry,Rodrigo Hernández Cascante,0,1,67.20615425356954,48.86177767684013,25.096065796844336,0.0
078ff5eb-d989-46d9-b1ae-15c36bb018ed,Spain,Carry,Robin Aime Robert Le Normand,0,2,60.2113199993812,66.81849065178977,28.27243179610864,0.0
07924f27-3a02-431c-bcda-57995fc0e40a,England,Ball Receipt*,Declan Rice,1,1,15.173310589485215,47.9005094248702,33.04669411834364,2.8926286274163675
07956d16-b7e8-43ba-a318-2c19b2a72a40,Spain,Ball Receipt*,Rodrigo Hernández Cascante,2,1,57.49519653302304,21.31664676010872,20.70014257856357,1.4617063248557858
07aa2775-b640-459f-b1c7-7776bbe3e364,Spain,Pass,Daniel Carvajal Ramos,0,0,69.24251134678343,48.60383568097745,17.728577919869153,0.0
07fb919d-ec0b-476f-903e-9b8eac9b8ab6,England,Carry,Marc Guehi,0,0,34.30243968445734,59.176473617552624,31.543406323396436,0.0
07fdd91f-e5eb-499f-9483-261a69dc8acc,Spain,Ball Receipt*,Mikel Merino Zazón,2,0,79.57543405135894,16.884729961772727,23.369939109077166,4.562825925438823
07ff5fd1-61da-4f41-b51c-5c1da0b1fbc7,England,Pass,Jordan Pickford,0,0,38.5908410420242,52.20471576606431,41.83993509846466,0.0
080b0aee-444f-41eb-bb55-61e52525e158,England,Carry,Jude Bellingham,1,0,19.4386736954622,47.08556031994563,33.12499836172434,0.0
080ebefc-010f-41f5-b624-1bffd9e6f1ef,England,Goal Keeper,Jordan Pickford,0,4,9.411305057242139,20.77267807931911,16.49882141346356,0.0
08170e9d-bb36-4f4e-bfe2-d201d035c8b6,Spain,Pass,Nicholas Williams Arthuer,3,0,52.361317930324624,32.93187787646314,17.171316498680905,0.0
083f57d7-f2dc-4d5b-b954-393b8950ed9b,England,Block,Declan Rice,2,2,77.9029070902213,28.1896159555179,18.791960818430933,0.0
0845abda-89d3-4876-aa2f-18542623f3df,Spain,Pressure,Álvaro Borja Morata Martín,1,0,48.78063318057681,7.695084336979794,23.502122380988546,0.0
085c773f-9499-4078-9683-59ca45bf8b21,England,Carry,Jude Bellingham,2,0,58.7171775916487,28.79291649235473,23.47642160336239,0.0
0860c606-8a85-4d34-bfc5-4e51f11801b4,Spain,Carry,Robin Aime Robert Le Normand,0,0,31.64548119721169,66.17151620972435,34.08735592300282,0.0
086ba2cf-bfd9-4275-aa85-d154fea01b8e,Spain,Pass,Martín Zubimendi Ibáñez,0,2,53.17990347808624,59.854516171369546,30.213148808944513,0.0
0898dac7-ac3e-4665-8aae-2a9366abd986,England,Carry,Jordan Pickford,0,0,32.11796692579277,52.88177716034123,40.697873313489055,0.0
08a14a6b-64d6-449e-963a-b6d76a56c350,England,Pass,Declan Rice,0,2,47.22496379237927,60.84540849458658,30.394375189423325,0.0
08b893a1-0951-4196-8899-a0168fc600f7,Spain,Pass,Daniel Olmo Carvajal,0,0,68.95875570773853,57.31714048066501,16.096539039353388,0.0
08b94b0b-c68c-4b71-a5fb-400a93a43be0,England,Dribbled Past,Jude Bellingham,1,0,37.807882040519694,46.499821214087504,27.279763544401376,0.0
08c2e85b-082f-4c37-828c-f9206864bfaa,Spain,Pass,Marc Cucurella Saseta,1,1,74.03807261376087,50.51621871634933,21.277361221550482,0.0
08c86501-3d1e-40e0-8003-67a2fa8bb08d,Spain,Carry,Nicholas Williams Arthuer,0,0,79.79809915395292,50.831337857124616,24.121769450722066,0.0
08c9aeaa-870b-43cc-ba45-4db0bce7fe1d,Spain,Pass,Martín Zubimendi Ibáñez,1,1,39.93676158533016,60.42783741754905,25.722524335859692,0.0
08e00a78-1a15-4747-885e-d5e604f08d46,Spain,Pass,Robin Aime Robert Le Normand,0,0,23.98847454875098,64.33557647580356,36.08498326181334,0.0
08e464ed-c5a7-4ea1-a2af-7e1d82bcc038,England,Pass,Jordan Pickford,0,0,47.526152911462475,41.652945657157254,33.01252501633889,0.0
08f350c3-2b86-4f64-a1a6-6e8e731ff197,Spain,Pass,Marc Cucurella Saseta,0,0,34.970886457647346,58.86477164152917,36.25296732636695,0.0
091176c8-8f68-4425-8232-b634faa68359,Spain,Foul Committed,Marc Cucurella Saseta,1,1,51.141782536327305,40.088295874375795,36.816395556142886,0.0
091e8c8b-ecc4-4852-b06f-0c7c68b180da,England,Pressure,Phil Foden,3,1,71.4545796393956,30.727677622604944,20.199290326567834,0.0
093b6afc-4139-48aa-b5bb-139b8cb5ef9e,Spain,Pass,Robin Aime Robert Le Normand,1,0,57.32542548027498,60.550383033328465,21.93148248505501,0.0
09417feb-331f-4508-95ad-a425009c6f44,England,Pressure,Declan Rice,1,0,38.95099467524268,38.97542698181116,18.739043473643388,0.0
094365aa-4beb-453d-bd03-5801a920963c,Spain,Pass,Álvaro Borja Morata Martín,1,1,55.854385989594,56.320802651720555,21.608898055074743,0.0
09734baa-3244-46d0-927b-a526a341a0c9,Spain,Dribbled Past,Nicholas Williams Arthuer,1,0,73.35082025101579,34.87423211009298,16.735451427300763,0.0
09790ade-10b2-48de-bfae-e4edec57770e,Spain,Pressure,Nicholas Williams Arthuer,1,2,53.165423046828394,33.64038434812377,37.35491419553874,0.0
0992fedb-305a-44cd-a699-a3d7e5c764ad,Spain,Carry,Aymeric Laporte,0,0,74.10867069896506,57.10764263991466,20.303329828692856,0.0
09a5bcc5-d69b-4afa-8004-d58700d80cb2,Spain,Ball Receipt*,Lamine Yamal Nasraoui Ebana,0,0,69.38511863706326,49.810860106119186,18.697822261866037,1.7406868414234045
09be6bb8-96fd-4de4-8765-e2558be6dfc1,Spain,Ball Receipt*,Fabián Ruiz Peña,0,0,51.089462986433354,55.06072044596662,29.536005165975872,2.7918047731310716
09ea7ea4-9f62-4f60-985d-e1bdb5708373,Spain,Clearance,Aymeric Laporte,3,2,29.084064229370888,26.023159823938805,27.396030724812952,0.0
09efa711-7bf1-4111-ab9f-eedd8a1d8aba,England,Ball Receipt*,Kyle Walker,0,0,61.08871535727004,50.41461333074528,35.104468854045926,2.5182256290932257
09f564b4-76cd-446d-8aff-37b05c0208c1,England,Pass,John Stones,1,0,49.6037692206043,56.65906407237325,19.698743462330754,0.0
09fdaf25-b346-411f-9b10-6464b36b4dc2,Spain,Ball Receipt*,Aymeric Laporte,0,0,71.2329026934207,59.06674395230125,26.318985579420527,6.637959178305291
0a19abcf-e743-43c9-bc33-5713a0eab508,Spain,Carry,Fabián Ruiz Peña,1,0,66.01699222927428,58.6394191514795,28.823122853729345,0.0
0a256fdd-cb20-43ee-adcd-42cad05af870,Spain,Pass,Álvaro Borja Morata Martín,1,1,60.47593250825585,43.530734678241835,22.901827585504495,0.0
0a5d5781-ad57-4923-9f04-af629017ad5f,Spain,Carry,Robin Aime Robert Le Normand,0,1,67.02942691348119,47.30814258694869,25.45987094189426,0.0
0a705103-0859-4bc0-b5a4-15162fb1cb27,England,Pass,Kobbie Mainoo,2,1,82.27576557594908,41.55753881741961,16.112632165790522,0.0
0aaddaa7-7234-4b31-91a1-e1ce751ffe3b,Spain,Duel,Martín Zubimendi Ibáñez,2,2,20.271268629790168,27.895119742731676,17.33322015719316,0.0
0ab84cf9-d10f-4027-90c6-01eda9ea4ef9,Spain,Pressure,Álvaro Borja Morata Martín,0,1,61.503758527390055,38.33825273978903,38.20213869524323,0.0
0adaebe8-6d11-4688-a039-e59cd26df3e2,England,Pass,Kyle Walker,0,0,69.2276336521902,52.88785381577362,21.42794921496253,0.0
0adbaf43-db94-4acd-bbbf-a9025ed1e949,England,Ball Receipt*,Jude Bellingham,1,0,31.281688023615118,56.84688900555271,24.61974400026099,1.427519592730414
0aef58ba-6730-4dcd-954b-b7cc41cdd621,Spain,Block,Aymeric Laporte,1,1,4.850468441375744,30.09735706177823,24.055260168218275,0.0
0b0d9ceb-f4a0-4907-9485-a87e7c548e35,England,Pressure,Cole Palmer,0,2,54.155847569272844,44.1583904001093,45.84011823678117,0.0
0b134d50-24aa-4634-b0f8-02a19dbeeb33,England,Clearance,Marc Guehi,0,2,7.745414531853061,14.14427865817537,15.919631885683172,0.0
0b1503d3-58b4-4ba3-8fe9-7175b8d74e0c,Spain,Carry,Marc Cucurella Saseta,0,1,66.03806281272358,57.14574268266092,23.807490544426226,0.0
0b1b293c-d147-4b46-a73e-4269c8fd6e1e,England,Pass,Declan Rice,1,1,14.969930774904261,47.86557973146508,33.258353738780514,0.0
0b32cc76-3940-44cf-8e99-81b8489661a3,England,Ball Receipt*,Phil Foden,1,2,11.599103897082012,33.37897403603944,10.873427888568619,0.0
0b354f36-d30a-4455-b47d-31594c752317,England,Pressure,Declan Rice,3,2,5.358042331482934,26.81242701789157,14.8890568893262,0.0
0b3647fa-da0d-4c52-8143-fec80c7854e8,England,Pressure,Phil Foden,1,1,54.38052140376767,31.52824675462496,17.53698959989194,0.0
0b4dcf72-b4e2-4669-9231-a6d04d60e65f,Spain,Pressure,Robin Aime Robert Le Normand,2,1,10.53937576975315,29.297601893795704,21.657601761921182,0.0
0b4fa301-06ee-4a66-89e6-e1b5dd176b95,Spain,Pass,Daniel Carvajal Ramos,1,1,92.70593803683687,24.620418881756297,13.30494914884314,0.0
0b545c1e-8cb4-4451-a071-69127f189c9b,Spain,Pressure,Marc Cucurella Saseta,1,0,81.03733057386356,32.6826879807486,21.435394940225304,0.0
